3504.0	70.0	18.0
3693.0	70.0	15.0
3436.0	70.0	18.0
3433.0	70.0	16.0
3449.0	70.0	17.0
4341.0	70.0	15.0
4425.0	70.0	14.0
3563.0	70.0	15.0
3086.0	70.0	14.0
2372.0	70.0	24.0
2833.0	70.0	22.0
2774.0	70.0	18.0
2587.0	70.0	21.0
2130.0	70.0	27.0
1835.0	70.0	26.0
2672.0	70.0	25.0
2430.0	70.0	24.0
2375.0	70.0	25.0
2234.0	70.0	26.0
2648.0	70.0	21.0
4615.0	70.0	10.0
4376.0	70.0	10.0
4382.0	70.0	11.0
4732.0	70.0	9.0
2130.0	71.0	27.0
2264.0	71.0	28.0
2228.0	71.0	25.0
2634.0	71.0	19.0
3439.0	71.0	16.0
3329.0	71.0	17.0
3302.0	71.0	19.0
3288.0	71.0	18.0
4209.0	71.0	14.0
4464.0	71.0	14.0
4154.0	71.0	14.0
4096.0	71.0	14.0
4955.0	71.0	12.0
4746.0	71.0	13.0
5140.0	71.0	13.0
2962.0	71.0	18.0
2408.0	71.0	22.0
3282.0	71.0	19.0
3139.0	71.0	18.0
2220.0	71.0	23.0
2123.0	71.0	28.0
2074.0	71.0	30.0
2065.0	71.0	30.0
1773.0	71.0	31.0
1613.0	71.0	35.0
1834.0	71.0	27.0
1955.0	71.0	26.0
2278.0	72.0	24.0
2126.0	72.0	25.0
2254.0	72.0	23.0
2408.0	72.0	20.0
2226.0	72.0	21.0
4274.0	72.0	13.0
4385.0	72.0	14.0
4135.0	72.0	15.0
4129.0	72.0	14.0
3672.0	72.0	17.0
4633.0	72.0	11.0
4502.0	72.0	13.0
4456.0	72.0	12.0
4422.0	72.0	13.0
2330.0	72.0	19.0
3892.0	72.0	15.0
4098.0	72.0	13.0
4294.0	72.0	13.0
4077.0	72.0	14.0
2933.0	72.0	18.0
2511.0	72.0	22.0
2979.0	72.0	21.0
2189.0	72.0	26.0
2395.0	72.0	22.0
2288.0	72.0	28.0
2506.0	72.0	23.0
2164.0	72.0	28.0
2100.0	72.0	27.0
4100.0	73.0	13.0
3672.0	73.0	14.0
3988.0	73.0	13.0
4042.0	73.0	14.0
3777.0	73.0	15.0
4952.0	73.0	12.0
4464.0	73.0	13.0
4363.0	73.0	13.0
4237.0	73.0	14.0
4735.0	73.0	13.0
4951.0	73.0	12.0
3821.0	73.0	13.0
3121.0	73.0	18.0
3278.0	73.0	16.0
2945.0	73.0	18.0
3021.0	73.0	18.0
2904.0	73.0	23.0
1950.0	73.0	26.0
4997.0	73.0	11.0
4906.0	73.0	12.0
4654.0	73.0	13.0
4499.0	73.0	12.0
2789.0	73.0	18.0
2279.0	73.0	20.0
2401.0	73.0	21.0
2379.0	73.0	22.0
2124.0	73.0	18.0
2310.0	73.0	19.0
2472.0	73.0	21.0
2265.0	73.0	26.0
4082.0	73.0	15.0
4278.0	73.0	16.0
1867.0	73.0	29.0
2158.0	73.0	24.0
2582.0	73.0	20.0
2868.0	73.0	19.0
3399.0	73.0	15.0
2660.0	73.0	24.0
2807.0	73.0	20.0
3664.0	73.0	11.0
3102.0	74.0	20.0
2901.0	74.0	19.0
3336.0	74.0	15.0
1950.0	74.0	31.0
2451.0	74.0	26.0
1836.0	74.0	32.0
2542.0	74.0	25.0
3781.0	74.0	16.0
3632.0	74.0	16.0
3613.0	74.0	18.0
4141.0	74.0	16.0
4699.0	74.0	13.0
4457.0	74.0	14.0
4638.0	74.0	14.0
4257.0	74.0	14.0
2219.0	74.0	29.0
1963.0	74.0	26.0
